ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;mortality_rate;recovery_rate
3174091004;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;LENTENG AGUNG;4199;4;4120;65;0,015479876;0,981185997
LUAR DKI JAKARTA;LUAR DKI JAKARTA;LUAR DKI JAKARTA;LUAR DKI JAKARTA;LUAR DKI JAKARTA;90958;47;90190;613;0,006739374;0,991556543
3175101007;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;LUBANG BUAYA;5739;5;5647;69;0,012023001;0,983969333
3175081001;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;MAKASAR;3560;5;3487;62;0,01741573;0,979494382
3175071006;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;MALAKA JAYA;3100;6;3022;59;0,019032258;0,97483871
3175071005;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;MALAKA SARI;2883;2;2809;68;0,023586542;0,974332293
3174031001;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;MAMPANG PRAPATAN;2172;7;2116;33;0,01519337;0,974217311
3173031005;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MANGGA BESAR;846;2;820;14;0,016548463;0,969267139
3171021005;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;MANGGA DUA SELATAN;1986;7;1915;36;0,018126888;0,964249748
3174011007;DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI;1819;4;1782;26;0,014293568;0,979659153
3174011006;DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI SELATAN;1991;3;1940;40;0,020090407;0,974384731
3173031003;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MAPHAR;1309;8;1259;28;0,021390374;0,961802903
3172041003;DKI JAKARTA;JAKARTA UTARA;CILINCING;MARUNDA;1215;0;1195;20;0,016460905;0,983539095
3174071001;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;MELAWAI;475;2;459;5;0,010526316;0,966315789
3171061001;DKI JAKARTA;JAKARTA PUSAT;MENTENG;MENTENG;2104;4;2057;33;0,015684411;0,977661597
3174021005;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;MENTENG ATAS;2607;2;2547;50;0,019179133;0,97698504
3174011003;DKI JAKARTA;JAKARTA SELATAN;TEBET;MENTENG DALAM;3124;3;3051;51;0,016325224;0,976632522
3173081003;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA SELATAN;3171;0;3117;46;0,014506465;0,982970672
3173081002;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA UTARA;3824;2;3735;59;0,01542887;0,976725941
3175101004;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;MUNJUL;2787;0;2745;36;0,012917115;0,984930032
3172051002;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN BARAT;5070;16;4946;77;0,015187377;0,975542406
3172051001;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN TIMUR;5978;2;5877;59;0,009869522;0,983104717
3175011004;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;PAL MERIAM;1684;5;1646;30;0,017814727;0,977434679
3173071001;DKI JAKARTA;JAKARTA BARAT;PALMERAH;PALMERAH;5518;6;5361;120;0,02174701;0,971547662
3174081001;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;PANCORAN;2065;4;2017;32;0,015496368;0,976755448
3172021003;DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;PAPANGGO;2286;3;2233;37;0,016185477;0,976815398
3171021001;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;PASAR BARU;1665;3;1624;25;0,015015015;0,975375375
3174021006;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;PASAR MANGGIS;2058;3;1990;49;0,023809524;0,966958212
